course_code,course_name,credits,grade,semester
INB372,International Business,3,C,Spring2021
BUS251,Business Communication,3,B-,Spring2021
MKT202,Introduction to Marketing,3,A-,Spring2021
MIS207,Management Information Systems,3,C-,Spring2021
MIS107,Introduction to Computers,3,B,Spring2021
LAW200,Legal Environment of Business,3,C-,Spring2021
MGT212,Principles of Management,3,B+,Summer2021
ECO101,Intro to Microeconomics,3,B-,Summer2021
PHI401,Ethics / Philosophy,3,B,Summer2021
ACT201,Intro to Financial Accounting,3,A,Summer2021
ENG115,English Literature,3,A-,Summer2021
ACT202,Intro to Managerial Accounting,3,A,Fall2021
PAD201,Public Administration,3,B,Fall2021
MGT368,Entrepreneurship,3,B-,Fall2021
ECO104,Intro to Macroeconomics,3,C+,Fall2021
BIO103,Biology I,3,B,Spring2022
ENV107,Environmental Science,3,A-,Spring2022
ENV107L,Environmental Science Lab,1,B-,Spring2022
PSY101,Intro to Psychology,3,B+,Spring2022
PBH101,Public Health,3,B+,Spring2022
PBH101L,Public Health Lab,1,B,Spring2022
ANT101,Anthropology,3,B,Spring2022
INB490,Cross-Cultural Management,3,B,Summer2022
HIS103,History of South Asia,3,A-,Summer2022
HIS205,Modern History,3,A-,Summer2022
INB400,International Trade and Finance,3,B-,Summer2022
HIS101,Bangladesh History,3,C-,Summer2022
INB350,International Business Negotiation,3,A-,Fall2022
INB480,Global Business Strategy,3,C,Fall2022
INB355,Country Risk Analysis,3,B+,Fall2022
MKT382,International Marketing,3,C,Fall2022
INB495,Special Topics in INB,3,B-,Spring2023
INB410,International Competitiveness,3,C+,Spring2023
INB415,Emerging Markets,3,C+,Spring2023
MKT417,Export-Import Management,3,A,Spring2023
INB450,Global Entrepreneurship,3,B,Summer2023
BUS498,Internship,4,B,Fall2023
