course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,C-,Summer2022
MAT116,Pre-Calculus,3,F,Summer2022
ECO101,Intro to Microeconomics,3,W,Summer2022
CSE173,Discrete Mathematics,3,D,Fall2022
MAT116,Pre-Calculus,3,C-,Fall2022
EEE141,Electrical Circuits I,3,D,Fall2022
EEE141L,Electrical Circuits I Lab,1,W,Fall2022
EEE141L,Electrical Circuits I Lab,1,D,Fall2022
CSE425,Concepts of Programming Languages,3,W,Fall2022
MAT120,Calculus I,3,D+,Spring2023
CSE215,Programming Language II,3,C,Spring2023
CSE215L,Programming Language II Lab,1,D+,Spring2023
ECO104,Intro to Macroeconomics,3,F,Spring2023
CSE311L,Database Management Systems Lab,1,D+,Spring2023
PHY108L,Physics II Lab,1,C,Spring2023
