course_code,course_name,credits,grade,semester
MGT212,Principles of Management,3,C,Fall2021
ACT201,Intro to Financial Accounting,3,B+,Fall2021
MIS207,Management Information Systems,3,C-,Fall2021
INB372,International Business,3,A-,Spring2022
MKT202,Introduction to Marketing,3,B-,Spring2022
MGT368,Entrepreneurship,3,A-,Spring2022
MIS107,Introduction to Computers,3,A-,Spring2022
ECO101,Intro to Microeconomics,3,A,Summer2022
ACT202,Intro to Managerial Accounting,3,A,Summer2022
BUS251,Business Communication,3,A-,Summer2022
LAW200,Legal Environment of Business,3,C+,Summer2022
PHI401,Ethics / Philosophy,3,C+,Summer2022
CSE327,Software Engineering,3,C,Fall2022
ENG105,Advanced Composition,3,B,Fall2022
CSE225L,Data Structures & Algorithms Lab,1,W,Fall2022
CSE115,Programming Language I,3,B-,Fall2022
CSE115L,Programming Language I Lab,1,C,Fall2022
CSE225L,Data Structures & Algorithms Lab,1,D,Spring2023
EEE141L,Electrical Circuits I Lab,1,C-,Spring2023
BIO103L,Biology I Lab,1,B-,Spring2023
CEE110,Engineering Drawing,1,A,Spring2023
EEE111,Analog Electronics I,3,A-,Spring2023
EEE111L,Analog Electronics I Lab,1,C-,Spring2023
CSE311L,Database Management Systems Lab,1,A-,Summer2023
ENG103,Intermediate Composition,3,B+,Summer2023
CSE331L,Microprocessor Interfacing Lab,1,C-,Summer2023
ENG111,Public Speaking,3,D,Summer2023
CSE101,Introduction to Python Programming,3,C,Fall2023
BIO103,Biology I,3,B-,Fall2023
CHE101,Chemistry I,3,C-,Fall2023
CHE101L,Chemistry I Lab,1,B+,Fall2023
MAT116,Pre-Calculus,3,B-,Spring2024
CSE145,Introduction to Artificial Intelligence,3,C,Spring2024
HIS101,Bangladesh History,3,D+,Spring2024
PHI104,Introduction to Ethics,3,B-,Spring2024
