course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,B,Spring2020
CSE115L,Programming Language I Lab,1,B+,Spring2020
MAT116,Pre-Calculus,3,W,Spring2020
MAT125,Linear Algebra,3,W,Spring2020
CEE110,Engineering Drawing,1,W,Spring2020
PHY108,Physics II,3,A,Spring2020
PHY108L,Physics II Lab,1,W,Spring2020
CSE173,Discrete Mathematics,3,W,Summer2020
MAT116,Pre-Calculus,3,D,Summer2020
ANT101,Anthropology,3,B,Summer2020
ECO101,Intro to Microeconomics,3,W,Summer2020
CSE311L,Database Management Systems Lab,1,C,Summer2020
CSE173,Discrete Mathematics,3,B,Fall2020
MAT120,Calculus I,3,C+,Fall2020
POL101,Intro to Political Science,3,W,Fall2020
ENG103,Intermediate Composition,3,W,Fall2020
CSE215,Programming Language II,3,A,Spring2021
CSE215L,Programming Language II Lab,1,B+,Spring2021
MAT130,Calculus II,3,B,Spring2021
EEE452,Engineering Economics,3,C+,Spring2021
POL101,Intro to Political Science,3,W,Spring2021
HIS101,Bangladesh History,3,B+,Spring2021
CSE225,Data Structures & Algorithms,3,W,Summer2021
MAT250,Calculus III,3,A,Summer2021
ENG105,Advanced Composition,3,D,Summer2021
