course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,F,Spring2020
CSE115,Programming Language I,3,W,Spring2020
ENG103,Intermediate Composition,3,B,Spring2020
CSE311L,Database Management Systems Lab,1,C+,Spring2020
MAT120,Calculus I,3,B+,Summer2020
CSE115,Programming Language I,3,B,Summer2020
CSE115L,Programming Language I Lab,1,B-,Summer2020
CSE331,Microprocessor Interfacing,3,B+,Summer2020
CSE331L,Microprocessor Interfacing Lab,1,D,Summer2020
CSE145,Introduction to Artificial Intelligence,3,F,Summer2020
CSE173,Discrete Mathematics,3,F,Fall2020
MAT130,Calculus II,3,D+,Fall2020
PHY108L,Physics II Lab,1,B+,Fall2020
CSE173,Discrete Mathematics,3,B-,Spring2021
MAT250,Calculus III,3,D,Spring2021
CSE226,Fundamentals of Vibe Coding,3,A,Spring2021
SOC101,Intro to Sociology,3,C,Spring2021
CHE101,Chemistry I,3,B,Spring2021
CHE101L,Chemistry I Lab,1,D+,Spring2021
CSE215,Programming Language II,3,B,Summer2021
CSE215L,Programming Language II Lab,1,B+,Summer2021
CSE215L,Programming Language II Lab,1,F,Summer2021
CSE425,Concepts of Programming Languages,3,D,Summer2021
PHY107,Physics I,3,D,Summer2021
PHY107L,Physics I Lab,1,A-,Summer2021
CEE110,Engineering Drawing,1,A,Summer2021
