course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,A-,Fall2019
CSE115L,Programming Language I Lab,1,B+,Fall2019
MAT116,Pre-Calculus,3,A-,Fall2019
CSE327,Software Engineering,3,D,Fall2019
CSE173,Discrete Mathematics,3,C,Spring2020
MAT120,Calculus I,3,B,Spring2020
CSE231L,Digital Logic Design Lab,1,D+,Spring2020
EEE111L,Analog Electronics I Lab,1,A-,Spring2020
CHE101L,Chemistry I Lab,1,C-,Spring2020
CSE215,Programming Language II,3,D+,Summer2020
CSE215L,Programming Language II Lab,1,C,Summer2020
MAT130,Calculus II,3,C,Summer2020
CSE299,Junior Design Project,1,A-,Summer2020
ENG105,Advanced Composition,3,C-,Summer2020
CSE225L,Data Structures & Algorithms Lab,1,C+,Summer2020
