course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,T,Spring2019
MAT116,Pre-Calculus,3,B,Spring2019
CSE226,Fundamentals of Vibe Coding,3,C,Spring2019
CSE173,Discrete Mathematics,3,T,Summer2019
MAT120,Calculus I,3,T,Fall2019
CSE215,Programming Language II,3,C+,Fall2019
CSE225,Data Structures & Algorithms,3,B,Spring2020
CSE225L,Data Structures & Algorithms Lab,1,T,Spring2020
CSE231,Digital Logic Design,3,B,Summer2020
CSE231L,Digital Logic Design Lab,1,A-,Summer2020
CSE332,Computer Organization & Architecture,3,B+,Fall2020
MAT130,Calculus II,3,T,Fall2020
MAT250,Calculus III,3,B,Spring2021
CSE215L,Programming Language II Lab,1,B+,Spring2021
EEE141L,Electrical Circuits I Lab,1,C+,Spring2021
