course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,F,Spring2020
ECO101,Intro to Microeconomics,3,D,Spring2020
ACT201,Intro to Financial Accounting,3,F,Summer2020
ACT201,Intro to Financial Accounting,3,C,Fall2020
ECO104,Intro to Macroeconomics,3,D+,Fall2020
MKT202,Introduction to Marketing,3,W,Fall2020
MKT202,Introduction to Marketing,3,F,Spring2021
ACT202,Intro to Managerial Accounting,3,C-,Summer2021
MKT202,Introduction to Marketing,3,F,Summer2021
BUS251,Business Communication,3,W,Fall2021
MKT202,Introduction to Marketing,3,C,Fall2021
MIS107,Introduction to Computers,3,C-,Fall2021
MIS207,Management Information Systems,3,F,Spring2022
LAW200,Legal Environment of Business,3,W,Spring2022
LAW200,Legal Environment of Business,3,C-,Summer2022
BUS251,Business Communication,3,C,Summer2022
MGT212,Principles of Management,3,D+,Summer2022
MGT368,Entrepreneurship,3,D,Fall2022
MIS207,Management Information Systems,3,D+,Fall2022
BEN205,Bengali Literature,3,D+,Spring2023
CHN101,Chinese Language,3,D+,Spring2023
ENG115,English Literature,3,C,Spring2023
POL104,Political Science,3,D+,Summer2023
INB372,International Business,3,C,Summer2023
ANT101,Anthropology,3,W,Fall2023
SOC101,Intro to Sociology,3,W,Fall2023
PHI401,Ethics / Philosophy,3,D+,Spring2024
SOC101,Intro to Sociology,3,C,Spring2024
PHY107,Physics I,3,D+,Summer2024
PHY107L,Physics I Lab,1,W,Summer2024
ENV107,Environmental Science,3,F,Summer2024
BIO103,Biology I,3,F,Summer2024
HRM340,Training and Development,3,C-,Fall2024
HIS101,Bangladesh History,3,C,Fall2024
HIS102,World Civilization,3,C,Fall2024
