course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,A,Spring2023
CSE115,Programming Language I,3,B+,Spring2023
CSE115L,Programming Language I Lab,1,B-,Spring2023
CEE110,Engineering Drawing,1,B+,Spring2023
EEE111L,Analog Electronics I Lab,1,B,Spring2023
CSE231L,Digital Logic Design Lab,1,A-,Spring2023
CSE115L,Programming Language I Lab,1,C+,Spring2023
CSE173,Discrete Mathematics,3,A,Summer2023
MAT130,Calculus II,3,B+,Summer2023
POL104,Political Science,3,B,Summer2023
CSE215L,Programming Language II Lab,1,A-,Summer2023
PHY107L,Physics I Lab,1,A-,Summer2023
CSE215,Programming Language II,3,A,Fall2023
MAT250,Calculus III,3,B,Fall2023
HIS102,World Civilization,3,A,Fall2023
EEE111,Analog Electronics I,3,B,Fall2023
CSE225,Data Structures & Algorithms,3,A-,Spring2024
CSE225L,Data Structures & Algorithms Lab,1,A,Spring2024
CSE225L,Data Structures & Algorithms Lab,1,A,Spring2024
ENG103,Intermediate Composition,3,B,Spring2024
ENG105,Advanced Composition,3,A-,Spring2024
CSE231,Digital Logic Design,3,A-,Summer2024
CSE299,Junior Design Project,1,B,Summer2024
CSE373,Design & Analysis of Algorithms,3,B-,Summer2024
CSE331,Microprocessor Interfacing,3,A,Summer2024
CSE331L,Microprocessor Interfacing Lab,1,B,Summer2024
CSE311L,Database Management Systems Lab,1,B,Summer2024
ANT101,Anthropology,3,A-,Summer2024
