course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,B,Spring2020
CSE115L,Programming Language I Lab,1,C-,Spring2020
MAT116,Pre-Calculus,3,W,Spring2020
CHE101L,Chemistry I Lab,1,A,Spring2020
CSE173,Discrete Mathematics,3,F,Summer2020
MAT116,Pre-Calculus,3,W,Summer2020
EEE452,Engineering Economics,3,A,Summer2020
PHY108L,Physics II Lab,1,D+,Summer2020
CSE173,Discrete Mathematics,3,C-,Fall2020
MAT116,Pre-Calculus,3,C+,Fall2020
CSE101,Introduction to Python Programming,3,B+,Fall2020
MAT120,Calculus I,3,C,Spring2021
CSE215,Programming Language II,3,D+,Spring2021
PHI104,Introduction to Ethics,3,C,Spring2021
CSE225,Data Structures & Algorithms,3,D,Summer2021
CSE225L,Data Structures & Algorithms Lab,1,C,Summer2021
MAT130,Calculus II,3,B-,Summer2021
CSE331,Microprocessor Interfacing,3,B-,Summer2021
CSE331L,Microprocessor Interfacing Lab,1,B-,Summer2021
CSE231,Digital Logic Design,3,C,Fall2021
CSE231L,Digital Logic Design Lab,1,B,Fall2021
MAT250,Calculus III,3,B,Fall2021
CSE425,Concepts of Programming Languages,3,F,Fall2021
POL101,Intro to Political Science,3,B,Fall2021
CSE332,Computer Organization & Architecture,3,F,Spring2022
CSE215L,Programming Language II Lab,1,C+,Spring2022
CSE299,Junior Design Project,1,A,Spring2022
BIO103,Biology I,3,A,Spring2022
BIO103L,Biology I Lab,1,C,Spring2022
CSE332,Computer Organization & Architecture,3,A,Summer2022
CSE311,Database Management Systems,3,B,Summer2022
CSE311L,Database Management Systems Lab,1,F,Summer2022
CSE425,Concepts of Programming Languages,3,C,Summer2022
ENG105,Advanced Composition,3,C-,Summer2022
PHY107,Physics I,3,C,Summer2022
PHY107L,Physics I Lab,1,D+,Summer2022
CSE311L,Database Management Systems Lab,1,C,Fall2022
CSE323,Operating Systems Design,3,C+,Fall2022
CSE423,Data Mining,3,F,Fall2022
EEE141,Electrical Circuits I,3,C+,Fall2022
EEE141L,Electrical Circuits I Lab,1,D+,Fall2022
CSE327,Software Engineering,3,B,Spring2023
CSE373,Design & Analysis of Algorithms,3,A,Spring2023
MAT361,Discrete Mathematics II,3,B+,Spring2023
EEE111,Analog Electronics I,3,B,Spring2023
EEE111L,Analog Electronics I Lab,1,B+,Spring2023
