course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,F,Spring2019
CSE115,Programming Language I,3,C-,Spring2019
CSE115L,Programming Language I Lab,1,C,Spring2019
GEO205,Geography,3,C,Spring2019
CHE101,Chemistry I,3,C,Spring2019
CHE101L,Chemistry I Lab,1,C,Spring2019
PHY107L,Physics I Lab,1,D,Spring2019
CSE173,Discrete Mathematics,3,C,Summer2019
MAT120,Calculus I,3,C+,Summer2019
CSE226,Fundamentals of Vibe Coding,3,D+,Summer2019
CSE311L,Database Management Systems Lab,1,D,Summer2019
CSE215,Programming Language II,3,C+,Fall2019
CSE215L,Programming Language II Lab,1,D,Fall2019
MAT130,Calculus II,3,C,Fall2019
ENG111,Public Speaking,3,C-,Fall2019
CSE225,Data Structures & Algorithms,3,D+,Spring2020
CSE225L,Data Structures & Algorithms Lab,1,C,Spring2020
MAT250,Calculus III,3,D+,Spring2020
CEE110,Engineering Drawing,1,C+,Spring2020
ENG103,Intermediate Composition,3,F,Spring2020
CSE231,Digital Logic Design,3,C-,Summer2020
CSE231L,Digital Logic Design Lab,1,B-,Summer2020
EEE141L,Electrical Circuits I Lab,1,D+,Summer2020
ENG105,Advanced Composition,3,B,Summer2020
CSE425,Concepts of Programming Languages,3,B,Summer2020
CSE332,Computer Organization & Architecture,3,C,Fall2020
CSE299,Junior Design Project,1,D,Fall2020
MAT125,Linear Algebra,3,D+,Fall2020
PHY108L,Physics II Lab,1,D+,Fall2020
CSE311,Database Management Systems,3,C,Fall2020
CSE323,Operating Systems Design,3,C,Spring2021
CSE327,Software Engineering,3,B,Spring2021
CSE423,Data Mining,3,D,Spring2021
CSE101,Introduction to Python Programming,3,C-,Spring2021
CSE331,Microprocessor Interfacing,3,C-,Summer2021
CSE331L,Microprocessor Interfacing Lab,1,C-,Summer2021
EEE111L,Analog Electronics I Lab,1,B,Summer2021
CSE145,Introduction to Artificial Intelligence,3,B-,Summer2021
SOC201,Social Theory,3,D,Summer2021
