course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,A,Fall2020
BUS251,Business Communication,3,C+,Fall2020
LAW200,Legal Environment of Business,3,B+,Fall2020
MKT202,Introduction to Marketing,3,A-,Fall2020
MIS107,Introduction to Computers,3,C+,Spring2021
MGT212,Principles of Management,3,A-,Spring2021
ACT201,Intro to Financial Accounting,3,B-,Spring2021
INB372,International Business,3,W,Spring2021
INB372,International Business,3,B-,Summer2021
ECO104,Intro to Macroeconomics,3,C,Summer2021
BEN205,Bengali Literature,3,B-,Summer2021
MGT368,Entrepreneurship,3,A,Summer2021
ACT202,Intro to Managerial Accounting,3,C-,Summer2021
PHI401,Ethics / Philosophy,3,D,Fall2021
PAD201,Public Administration,3,W,Fall2021
POL101,Intro to Political Science,3,C-,Fall2021
ENV107,Environmental Science,3,B-,Spring2022
ENV107L,Environmental Science Lab,1,C+,Spring2022
GEO205,Geography,3,C+,Spring2022
BIO103,Biology I,3,C+,Spring2022
BIO103L,Biology I Lab,1,B,Spring2022
MIS207,Management Information Systems,3,C-,Spring2022
