course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,D,Spring2022
ACT201,Intro to Financial Accounting,3,B-,Spring2022
MKT202,Introduction to Marketing,3,C+,Spring2022
ACT202,Intro to Managerial Accounting,3,B+,Summer2022
MIS107,Introduction to Computers,3,C,Summer2022
LAW200,Legal Environment of Business,3,C,Summer2022
BUS251,Business Communication,3,A,Summer2022
ECO104,Intro to Macroeconomics,3,A,Fall2022
INB372,International Business,3,F,Fall2022
ENG103,Intermediate Composition,3,D+,Fall2022
PHI401,Ethics / Philosophy,3,B+,Spring2023
ENG105,Advanced Composition,3,C+,Spring2023
INB372,International Business,3,B,Spring2023
MGT212,Principles of Management,3,A-,Spring2023
CHN101,Chinese Language,3,C+,Summer2023
POL104,Political Science,3,A-,Summer2023
MIS207,Management Information Systems,3,B-,Summer2023
MGT368,Entrepreneurship,3,C,Summer2023
BEN205,Bengali Literature,3,B-,Summer2023
ENV107,Environmental Science,3,C+,Fall2023
ENV107L,Environmental Science Lab,1,C-,Fall2023
ANT101,Anthropology,3,C,Fall2023
BIO103,Biology I,3,C-,Fall2023
BIO103L,Biology I Lab,1,C-,Fall2023
GEO205,Geography,3,A-,Fall2023
INB400,International Trade and Finance,3,F,Spring2024
HIS102,World Civilization,3,B,Spring2024
HIS103,History of South Asia,3,C+,Spring2024
INB490,Cross-Cultural Management,3,C+,Summer2024
INB355,Country Risk Analysis,3,D+,Summer2024
INB350,International Business Negotiation,3,C,Summer2024
INB480,Global Business Strategy,3,B+,Summer2024
MKT382,International Marketing,3,B-,Summer2024
