course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,C-,Spring2020
BUS251,Business Communication,3,B,Spring2020
MIS107,Introduction to Computers,3,C,Spring2020
MKT202,Introduction to Marketing,3,C,Summer2020
LAW200,Legal Environment of Business,3,B+,Summer2020
INB372,International Business,3,D,Summer2020
ECO104,Intro to Macroeconomics,3,D+,Summer2020
MGT368,Entrepreneurship,3,B+,Fall2020
MIS207,Management Information Systems,3,A-,Fall2020
BEN205,Bengali Literature,3,F,Fall2020
ACT201,Intro to Financial Accounting,3,C+,Fall2020
MGT212,Principles of Management,3,B-,Spring2021
PHI401,Ethics / Philosophy,3,D+,Spring2021
CHN101,Chinese Language,3,C,Spring2021
ENG115,English Literature,3,D,Spring2021
POL104,Political Science,3,C,Summer2021
ACT202,Intro to Managerial Accounting,3,C+,Summer2021
PAD201,Public Administration,3,A-,Summer2021
SOC101,Intro to Sociology,3,B,Fall2021
GEO205,Geography,3,D,Fall2021
ANT101,Anthropology,3,B+,Fall2021
