course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,D+,Fall2021
CSE115,Programming Language I,3,D+,Fall2021
CSE115L,Programming Language I Lab,1,D,Fall2021
CHE101L,Chemistry I Lab,1,C-,Fall2021
CSE173,Discrete Mathematics,3,F,Spring2022
MAT130,Calculus II,3,C-,Spring2022
PHY107,Physics I,3,D+,Spring2022
PHY107L,Physics I Lab,1,F,Spring2022
BIO103,Biology I,3,I,Spring2022
CSE173,Discrete Mathematics,3,D,Summer2022
MAT250,Calculus III,3,I,Summer2022
CSE215,Programming Language II,3,D+,Fall2022
CSE215L,Programming Language II Lab,1,D+,Fall2022
MAT250,Calculus III,3,D,Fall2022
CSE327,Software Engineering,3,C-,Fall2022
CSE225,Data Structures & Algorithms,3,I,Spring2023
CSE225L,Data Structures & Algorithms Lab,1,D,Spring2023
ENG105,Advanced Composition,3,F,Spring2023
CSE225,Data Structures & Algorithms,3,D+,Summer2023
CSE231L,Digital Logic Design Lab,1,C-,Summer2023
CSE331L,Microprocessor Interfacing Lab,1,F,Summer2023
PHI104,Introduction to Ethics,3,F,Summer2023
CSE231,Digital Logic Design,3,D,Fall2023
CSE299,Junior Design Project,1,D,Fall2023
EEE111,Analog Electronics I,3,F,Fall2023
ENG111,Public Speaking,3,C-,Fall2023
CSE332,Computer Organization & Architecture,3,C-,Spring2024
CSE311,Database Management Systems,3,I,Spring2024
ECO104,Intro to Macroeconomics,3,C-,Spring2024
CSE373,Design & Analysis of Algorithms,3,D+,Spring2024
