course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,C+,Fall2021
CSE115L,Programming Language I Lab,1,A,Fall2021
MAT116,Pre-Calculus,3,C+,Fall2021
CSE225L,Data Structures & Algorithms Lab,1,A,Fall2021
ENG111,Public Speaking,3,B,Fall2021
CSE173,Discrete Mathematics,3,A-,Spring2022
MAT120,Calculus I,3,B-,Spring2022
EEE141,Electrical Circuits I,3,B+,Spring2022
CSE425,Concepts of Programming Languages,3,A,Spring2022
CSE215,Programming Language II,3,B,Summer2022
CSE215L,Programming Language II Lab,1,A-,Summer2022
MAT130,Calculus II,3,A-,Summer2022
BIO103L,Biology I Lab,1,B,Summer2022
CHE101,Chemistry I,3,C+,Summer2022
CHE101L,Chemistry I Lab,1,C,Summer2022
