course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,C-,Spring2019
ENG103,Intermediate Composition,3,D,Spring2019
ECO101,Intro to Microeconomics,3,C-,Summer2019
BUS251,Business Communication,3,D,Summer2019
ECO104,Intro to Macroeconomics,3,D,Fall2019
INB372,International Business,3,D+,Spring2020
MIS207,Management Information Systems,3,D,Spring2020
ACT201,Intro to Financial Accounting,3,I,Spring2020
ACT201,Intro to Financial Accounting,3,C-,Summer2020
LAW200,Legal Environment of Business,3,I,Summer2020
MIS107,Introduction to Computers,3,D+,Fall2020
MGT368,Entrepreneurship,3,I,Spring2021
ACT202,Intro to Managerial Accounting,3,D,Spring2021
ENG105,Advanced Composition,3,D,Spring2021
MGT368,Entrepreneurship,3,F,Summer2021
MGT368,Entrepreneurship,3,C-,Fall2021
LAW200,Legal Environment of Business,3,F,Spring2022
PHI401,Ethics / Philosophy,3,D+,Spring2022
MGT212,Principles of Management,3,F,Spring2022
MGT212,Principles of Management,3,D,Summer2022
CHN101,Chinese Language,3,D,Summer2022
ENG115,English Literature,3,C-,Summer2022
LAW200,Legal Environment of Business,3,D,Fall2022
POL101,Intro to Political Science,3,D,Fall2022
SOC101,Intro to Sociology,3,C-,Spring2023
PBH101,Public Health,3,D,Summer2023
ENV107,Environmental Science,3,D+,Summer2023
ENV107L,Environmental Science Lab,1,D,Summer2023
PHY107,Physics I,3,F,Summer2023
HIS101,Bangladesh History,3,I,Fall2023
MKT337,Promotional Management,3,D,Fall2023
HIS205,Modern History,3,F,Fall2023
HIS103,History of South Asia,3,D+,Spring2024
HIS102,World Civilization,3,I,Summer2024
HIS205,Modern History,3,F,Fall2024
