course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,D,Spring2021
CSE115L,Programming Language I Lab,1,D,Spring2021
MAT116,Pre-Calculus,3,D+,Spring2021
CSE327,Software Engineering,3,D+,Spring2021
CSE173,Discrete Mathematics,3,D+,Summer2021
MAT120,Calculus I,3,C+,Summer2021
BIO103L,Biology I Lab,1,C+,Summer2021
CSE215,Programming Language II,3,C-,Fall2021
CSE215L,Programming Language II Lab,1,D+,Fall2021
MAT130,Calculus II,3,B-,Fall2021
CSE299,Junior Design Project,1,C-,Fall2021
CSE225,Data Structures & Algorithms,3,C,Spring2022
CSE225L,Data Structures & Algorithms Lab,1,D+,Spring2022
MAT250,Calculus III,3,C,Spring2022
EEE452,Engineering Economics,3,C+,Spring2022
CSE231,Digital Logic Design,3,C-,Summer2022
CSE231L,Digital Logic Design Lab,1,D,Summer2022
CSE231L,Digital Logic Design Lab,1,D+,Summer2022
MAT350,Complex Variables,3,D+,Summer2022
CSE332,Computer Organization & Architecture,3,F,Fall2022
CSE311,Database Management Systems,3,D+,Fall2022
CSE311L,Database Management Systems Lab,1,C+,Fall2022
EEE111L,Analog Electronics I Lab,1,C+,Fall2022
ECO101,Intro to Microeconomics,3,C,Fall2022
CSE332,Computer Organization & Architecture,3,D,Spring2023
CSE331,Microprocessor Interfacing,3,C+,Spring2023
CSE331L,Microprocessor Interfacing Lab,1,C+,Spring2023
CSE323,Operating Systems Design,3,D,Summer2023
CSE373,Design & Analysis of Algorithms,3,C+,Summer2023
CSE425,Concepts of Programming Languages,3,C-,Fall2023
EEE141,Electrical Circuits I,3,D+,Fall2023
EEE141L,Electrical Circuits I Lab,1,C,Fall2023
CSE445,Computer Vision,3,F,Fall2023
