course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,B-,Summer2020
BUS251,Business Communication,3,B+,Summer2020
MGT212,Principles of Management,3,A,Summer2020
MIS207,Management Information Systems,3,A-,Summer2020
PHI401,Ethics / Philosophy,3,A,Summer2020
ACT201,Intro to Financial Accounting,3,B+,Fall2020
MKT202,Introduction to Marketing,3,B,Fall2020
MGT368,Entrepreneurship,3,B-,Fall2020
LAW200,Legal Environment of Business,3,C,Fall2020
MIS107,Introduction to Computers,3,A,Spring2021
ACT202,Intro to Managerial Accounting,3,A,Spring2021
INB372,International Business,3,B,Spring2021
ECO104,Intro to Macroeconomics,3,B,Spring2021
CSE115,Programming Language I,3,C,Fall2021
CSE115L,Programming Language I Lab,1,B+,Fall2021
ENG111,Public Speaking,3,C,Fall2021
MAT125,Linear Algebra,3,B-,Fall2021
PHY108L,Physics II Lab,1,C-,Fall2021
CSE101,Introduction to Python Programming,3,A,Spring2022
CHE101,Chemistry I,3,C-,Spring2022
CHE101L,Chemistry I Lab,1,B,Spring2022
BIO103L,Biology I Lab,1,C-,Spring2022
CSE331L,Microprocessor Interfacing Lab,1,C,Spring2022
EEE452,Engineering Economics,3,C,Spring2022
ENG105,Advanced Composition,3,A,Summer2022
CSE145,Introduction to Artificial Intelligence,3,W,Summer2022
PHY108,Physics II,3,A,Summer2022
ENG103,Intermediate Composition,3,D,Summer2022
CSE311L,Database Management Systems Lab,1,F,Summer2022
HIS101,Bangladesh History,3,A,Fall2022
CSE225L,Data Structures & Algorithms Lab,1,C,Fall2022
CSE331,Microprocessor Interfacing,3,A-,Fall2022
BIO103,Biology I,3,D+,Fall2022
EEE111L,Analog Electronics I Lab,1,B-,Fall2022
EEE141,Electrical Circuits I,3,W,Spring2023
CSE231L,Digital Logic Design Lab,1,W,Spring2023
CSE145,Introduction to Artificial Intelligence,3,D,Spring2023
CEE110,Engineering Drawing,1,D,Spring2023
CSE173,Discrete Mathematics,3,D,Spring2023
