course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,B,Spring2021
ENG103,Intermediate Composition,3,F,Spring2021
MKT202,Introduction to Marketing,3,B+,Spring2021
ENG103,Intermediate Composition,3,C+,Summer2021
ECO101,Intro to Microeconomics,3,C,Summer2021
ACT202,Intro to Managerial Accounting,3,B,Summer2021
MIS207,Management Information Systems,3,C+,Fall2021
INB372,International Business,3,C,Fall2021
ECO104,Intro to Macroeconomics,3,D,Fall2021
MIS107,Introduction to Computers,3,A-,Fall2021
BUS251,Business Communication,3,W,Spring2022
ENG105,Advanced Composition,3,B+,Spring2022
LAW200,Legal Environment of Business,3,D+,Spring2022
MGT368,Entrepreneurship,3,D+,Summer2022
BUS251,Business Communication,3,D,Summer2022
BEN205,Bengali Literature,3,C+,Summer2022
POL101,Intro to Political Science,3,B+,Fall2022
MGT212,Principles of Management,3,B,Fall2022
PAD201,Public Administration,3,W,Fall2022
