course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,A-,Spring2022
CSE115,Programming Language I,3,A-,Spring2022
CSE115L,Programming Language I Lab,1,A,Spring2022
ECO101,Intro to Microeconomics,3,A,Spring2022
CSE173,Discrete Mathematics,3,D,Summer2022
MAT130,Calculus II,3,C,Summer2022
EEE141L,Electrical Circuits I Lab,1,C+,Summer2022
BIO103,Biology I,3,F,Summer2022
ENG111,Public Speaking,3,C+,Summer2022
CSE215,Programming Language II,3,W,Fall2022
MAT250,Calculus III,3,B,Fall2022
ENG105,Advanced Composition,3,D+,Fall2022
POL104,Political Science,3,B,Fall2022
MAT125,Linear Algebra,3,D,Fall2022
