course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,D,Spring2020
CSE115,Programming Language I,3,C-,Spring2020
CSE115L,Programming Language I Lab,1,D+,Spring2020
CSE173,Discrete Mathematics,3,D,Summer2020
CSE215,Programming Language II,3,C-,Fall2020
MAT130,Calculus II,3,F,Fall2020
CSE225,Data Structures & Algorithms,3,I,Spring2021
MAT130,Calculus II,3,D,Spring2021
CSE225,Data Structures & Algorithms,3,D+,Summer2021
CSE225L,Data Structures & Algorithms Lab,1,D+,Summer2021
CSE231,Digital Logic Design,3,D,Fall2021
MAT250,Calculus III,3,D+,Fall2021
ANT101,Anthropology,3,D,Fall2021
CSE332,Computer Organization & Architecture,3,D+,Spring2022
CSE215L,Programming Language II Lab,1,F,Spring2022
CSE215L,Programming Language II Lab,1,C-,Summer2022
CSE231L,Digital Logic Design Lab,1,I,Summer2022
CSE231L,Digital Logic Design Lab,1,F,Fall2022
CSE299,Junior Design Project,1,D,Fall2022
HIS101,Bangladesh History,3,F,Fall2022
CSE231L,Digital Logic Design Lab,1,D,Spring2023
CSE311,Database Management Systems,3,D,Spring2023
CSE311L,Database Management Systems Lab,1,C-,Spring2023
CSE323,Operating Systems Design,3,D+,Summer2023
CSE327,Software Engineering,3,C-,Fall2023
CSE331,Microprocessor Interfacing,3,I,Spring2024
CSE331L,Microprocessor Interfacing Lab,1,D+,Spring2024
ECO104,Intro to Macroeconomics,3,D+,Spring2024
CSE331,Microprocessor Interfacing,3,D+,Summer2024
CSE373,Design & Analysis of Algorithms,3,F,Summer2024
CSE373,Design & Analysis of Algorithms,3,D,Fall2024
CSE425,Concepts of Programming Languages,3,I,Fall2024
