course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,F,Fall2019
MAT116,Pre-Calculus,3,C,Fall2019
CEE110,Engineering Drawing,1,W,Fall2019
MAT120,Calculus I,3,F,Spring2020
CSE115,Programming Language I,3,C-,Spring2020
CSE115L,Programming Language I Lab,1,W,Spring2020
CSE327,Software Engineering,3,C,Spring2020
CSE231L,Digital Logic Design Lab,1,C-,Spring2020
CSE299,Junior Design Project,1,D+,Spring2020
CSE173,Discrete Mathematics,3,C-,Summer2020
MAT120,Calculus I,3,D+,Summer2020
ANT101,Anthropology,3,W,Summer2020
CSE215,Programming Language II,3,D+,Fall2020
MAT130,Calculus II,3,C-,Fall2020
HIS101,Bangladesh History,3,W,Fall2020
CSE225,Data Structures & Algorithms,3,W,Spring2021
MAT250,Calculus III,3,F,Spring2021
HIS102,World Civilization,3,W,Spring2021
CSE225,Data Structures & Algorithms,3,D,Summer2021
CSE225L,Data Structures & Algorithms Lab,1,D+,Summer2021
MAT250,Calculus III,3,D+,Summer2021
CSE425,Concepts of Programming Languages,3,W,Summer2021
CSE231,Digital Logic Design,3,W,Fall2021
CSE215L,Programming Language II Lab,1,F,Fall2021
ECO104,Intro to Macroeconomics,3,D,Fall2021
CSE101,Introduction to Python Programming,3,F,Fall2021
CSE331,Microprocessor Interfacing,3,D,Fall2021
CSE331L,Microprocessor Interfacing Lab,1,C-,Fall2021
CSE231,Digital Logic Design,3,C,Spring2022
CSE215L,Programming Language II Lab,1,C-,Spring2022
PHI104,Introduction to Ethics,3,F,Spring2022
ENG105,Advanced Composition,3,W,Spring2022
