course_code,course_name,credits,grade,semester
BUS251,Business Communication,3,B-,Fall2023
ECO101,Intro to Microeconomics,3,A-,Fall2023
LAW200,Legal Environment of Business,3,A-,Fall2023
MIS107,Introduction to Computers,3,C,Fall2023
INB372,International Business,3,B+,Spring2024
PHI401,Ethics / Philosophy,3,C+,Spring2024
MGT212,Principles of Management,3,B,Spring2024
MGT368,Entrepreneurship,3,A-,Spring2024
MKT202,Introduction to Marketing,3,B-,Spring2024
MIS207,Management Information Systems,3,B,Spring2024
POL104,Political Science,3,C+,Summer2024
ENG115,English Literature,3,A-,Summer2024
ECO104,Intro to Macroeconomics,3,B,Summer2024
ACT201,Intro to Financial Accounting,3,B,Summer2024
CHN101,Chinese Language,3,A-,Summer2024
