course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,B-,Fall2019
CSE115,Programming Language I,3,B+,Fall2019
CSE115L,Programming Language I Lab,1,C+,Fall2019
CSE101,Introduction to Python Programming,3,C,Fall2019
CSE327,Software Engineering,3,A-,Fall2019
BIO103L,Biology I Lab,1,B,Fall2019
SOC101,Intro to Sociology,3,B,Fall2019
CSE173,Discrete Mathematics,3,C,Spring2020
MAT130,Calculus II,3,C+,Spring2020
CSE145,Introduction to Artificial Intelligence,3,B-,Spring2020
CSE331,Microprocessor Interfacing,3,A,Spring2020
CSE331L,Microprocessor Interfacing Lab,1,C+,Spring2020
CSE215,Programming Language II,3,A-,Summer2020
CSE215L,Programming Language II Lab,1,C+,Summer2020
MAT250,Calculus III,3,B-,Summer2020
HIS102,World Civilization,3,B+,Summer2020
MAT125,Linear Algebra,3,B+,Summer2020
POL101,Intro to Political Science,3,B+,Summer2020
CSE225,Data Structures & Algorithms,3,B,Fall2020
CSE225L,Data Structures & Algorithms Lab,1,A-,Fall2020
CSE225L,Data Structures & Algorithms Lab,1,C,Fall2020
ENG103,Intermediate Composition,3,B,Fall2020
CSE311L,Database Management Systems Lab,1,B+,Fall2020
CHE101,Chemistry I,3,A,Fall2020
