course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,B,Summer2022
CSE115L,Programming Language I Lab,1,A-,Summer2022
MAT116,Pre-Calculus,3,C,Summer2022
PHY108L,Physics II Lab,1,T,Summer2022
CSE173,Discrete Mathematics,3,B,Fall2022
MAT120,Calculus I,3,T,Fall2022
POL104,Political Science,3,B+,Fall2022
CSE215,Programming Language II,3,B+,Spring2023
CSE215L,Programming Language II Lab,1,C,Spring2023
MAT130,Calculus II,3,B,Spring2023
CEE110,Engineering Drawing,1,C+,Spring2023
CSE225,Data Structures & Algorithms,3,C+,Summer2023
MAT250,Calculus III,3,C,Summer2023
CSE327,Software Engineering,3,T,Summer2023
CSE231,Digital Logic Design,3,B,Fall2023
CSE231L,Digital Logic Design Lab,1,T,Fall2023
CSE225L,Data Structures & Algorithms Lab,1,T,Fall2023
CSE425,Concepts of Programming Languages,3,C+,Fall2023
