course_code,course_name,credits,grade,semester
LAW200,Legal Environment of Business,3,A,Spring2020
ACT201,Intro to Financial Accounting,3,A,Spring2020
ECO101,Intro to Microeconomics,3,B+,Spring2020
BUS251,Business Communication,3,B-,Spring2020
MKT202,Introduction to Marketing,3,B+,Summer2020
ACT202,Intro to Managerial Accounting,3,B,Summer2020
ECO104,Intro to Macroeconomics,3,B,Summer2020
MIS107,Introduction to Computers,3,A,Summer2020
BEN205,Bengali Literature,3,B+,Fall2020
MGT368,Entrepreneurship,3,B,Fall2020
INB372,International Business,3,A-,Fall2020
ENG115,English Literature,3,B+,Fall2020
MIS207,Management Information Systems,3,A,Fall2020
POL101,Intro to Political Science,3,B-,Spring2021
GEO205,Geography,3,A,Spring2021
PHI401,Ethics / Philosophy,3,C+,Spring2021
POL104,Political Science,3,B,Spring2021
MGT212,Principles of Management,3,A,Spring2021
CHE101,Chemistry I,3,A-,Summer2021
CHE101L,Chemistry I Lab,1,A,Summer2021
BIO103,Biology I,3,B+,Summer2021
BIO103L,Biology I Lab,1,A,Summer2021
PSY101,Intro to Psychology,3,C+,Summer2021
PSY101L,Psychology Lab,1,B+,Summer2021
ENV107,Environmental Science,3,B,Summer2021
HIS102,World Civilization,3,B,Fall2021
MKT337,Promotional Management,3,A,Fall2021
HIS103,History of South Asia,3,A,Fall2021
HIS205,Modern History,3,C+,Fall2021
HIS101,Bangladesh History,3,A,Fall2021
MKT460,Strategic Marketing,3,A,Spring2022
MKT465,Brand Management,3,A-,Spring2022
MKT470,Marketing Research,3,A-,Spring2022
MKT412,Services Marketing,3,B,Spring2022
MKT344,Consumer Behaviour,3,B+,Spring2022
MKT450,Marketing Channels,3,A-,Summer2022
MKT330,Retail Management,3,B+,Summer2022
MKT475,Marketing Analytics,3,A-,Summer2022
MKT382,International Marketing,3,B+,Summer2022
MKT417,Export-Import Management,3,B,Summer2022
MKT355,Agricultural Marketing,3,A-,Summer2022
MKT445,Sales Management,3,A,Fall2022
BUS498,Internship,4,A-,Summer2023
