course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,C,Summer2019
CSE115L,Programming Language I Lab,1,B,Summer2019
PHY108L,Physics II Lab,1,B-,Summer2019
CSE299,Junior Design Project,1,B,Summer2019
HIS101,Bangladesh History,3,B+,Fall2019
CHE101L,Chemistry I Lab,1,B+,Fall2019
EEE111,Analog Electronics I,3,C-,Fall2019
EEE111L,Analog Electronics I Lab,1,B,Fall2019
ENG103,Intermediate Composition,3,B-,Spring2020
EEE141,Electrical Circuits I,3,B+,Spring2020
EEE141L,Electrical Circuits I Lab,1,A,Spring2020
PHY107L,Physics I Lab,1,B+,Spring2020
CSE225L,Data Structures & Algorithms Lab,1,B+,Spring2020
CSE311L,Database Management Systems Lab,1,C,Summer2020
CSE226,Fundamentals of Vibe Coding,3,B,Summer2020
CSE327,Software Engineering,3,C+,Summer2020
ENG105,Advanced Composition,3,D+,Fall2020
BUS251,Business Communication,3,B-,Fall2020
INB372,International Business,3,W,Fall2020
MIS107,Introduction to Computers,3,C+,Spring2021
MKT445,Sales Management,3,C-,Spring2021
MKT460,Strategic Marketing,3,B+,Spring2021
MKT450,Marketing Channels,3,B+,Summer2021
MKT465,Brand Management,3,C,Summer2021
MIS207,Management Information Systems,3,B,Summer2021
MKT330,Retail Management,3,B+,Summer2021
MKT475,Marketing Analytics,3,B+,Fall2021
MKT344,Consumer Behaviour,3,D,Fall2021
MKT337,Promotional Management,3,B,Fall2021
PHI401,Ethics / Philosophy,3,B-,Fall2021
ECO101,Intro to Microeconomics,3,D,Spring2022
MGT212,Principles of Management,3,D,Spring2022
MGT368,Entrepreneurship,3,C+,Spring2022
LAW200,Legal Environment of Business,3,C+,Spring2022
MKT470,Marketing Research,3,B-,Summer2022
MKT417,Export-Import Management,3,C-,Summer2022
ECO104,Intro to Macroeconomics,3,C+,Summer2022
