course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,D+,Spring2021
BUS251,Business Communication,3,F,Spring2021
MKT202,Introduction to Marketing,3,D,Spring2021
ACT201,Intro to Financial Accounting,3,F,Summer2021
MIS107,Introduction to Computers,3,C-,Summer2021
BUS251,Business Communication,3,D,Summer2021
ACT201,Intro to Financial Accounting,3,C-,Fall2021
MIS207,Management Information Systems,3,C,Fall2021
INB372,International Business,3,C,Fall2021
MGT368,Entrepreneurship,3,C-,Fall2021
MGT212,Principles of Management,3,D,Fall2021
BEN205,Bengali Literature,3,C-,Spring2022
PHI401,Ethics / Philosophy,3,F,Spring2022
ECO104,Intro to Macroeconomics,3,C-,Spring2022
ACT202,Intro to Managerial Accounting,3,F,Spring2022
