course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,C+,Summer2020
CSE115L,Programming Language I Lab,1,B+,Summer2020
MAT116,Pre-Calculus,3,B+,Summer2020
POL101,Intro to Political Science,3,B-,Summer2020
CSE226,Fundamentals of Vibe Coding,3,D+,Summer2020
CSE173,Discrete Mathematics,3,B,Fall2020
MAT120,Calculus I,3,F,Fall2020
MAT120,Calculus I,3,C-,Spring2021
CSE215,Programming Language II,3,B+,Spring2021
CSE215L,Programming Language II Lab,1,D+,Spring2021
PHY107L,Physics I Lab,1,B,Spring2021
ANT101,Anthropology,3,F,Spring2021
CSE225,Data Structures & Algorithms,3,A-,Summer2021
CSE225L,Data Structures & Algorithms Lab,1,C,Summer2021
MAT130,Calculus II,3,A-,Summer2021
CHE101,Chemistry I,3,B+,Summer2021
CHE101L,Chemistry I Lab,1,A-,Summer2021
