course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,B+,Fall2022
ECO104,Intro to Macroeconomics,3,A,Spring2023
ENG103,Intermediate Composition,3,A,Spring2023
MKT202,Introduction to Marketing,3,A,Spring2023
LAW200,Legal Environment of Business,3,C,Summer2023
INB372,International Business,3,B,Summer2023
BUS251,Business Communication,3,T,Summer2023
MGT212,Principles of Management,3,T,Fall2023
MIS207,Management Information Systems,3,T,Fall2023
ACT201,Intro to Financial Accounting,3,A-,Spring2024
ENG105,Advanced Composition,3,A-,Spring2024
PHI401,Ethics / Philosophy,3,C,Spring2024
BEN205,Bengali Literature,3,T,Summer2024
ACT202,Intro to Managerial Accounting,3,A-,Summer2024
