course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,W,Spring2020
MAT116,Pre-Calculus,3,B,Spring2020
CSE311L,Database Management Systems Lab,1,D,Spring2020
MAT120,Calculus I,3,D,Summer2020
CSE115,Programming Language I,3,W,Fall2020
CSE115,Programming Language I,3,W,Spring2021
MAT130,Calculus II,3,C,Spring2021
CSE115,Programming Language I,3,C,Summer2021
CSE115L,Programming Language I Lab,1,C+,Summer2021
CSE173,Discrete Mathematics,3,C+,Fall2021
MAT250,Calculus III,3,W,Fall2021
CSE215,Programming Language II,3,W,Spring2022
CSE215,Programming Language II,3,C+,Summer2022
CSE215L,Programming Language II Lab,1,B,Summer2022
CSE225,Data Structures & Algorithms,3,C,Fall2022
CSE225L,Data Structures & Algorithms Lab,1,B+,Fall2022
MAT250,Calculus III,3,W,Fall2022
EEE452,Engineering Economics,3,W,Fall2022
CSE231,Digital Logic Design,3,W,Spring2023
CSE231,Digital Logic Design,3,W,Summer2023
MAT250,Calculus III,3,W,Summer2023
CSE311,Database Management Systems,3,W,Summer2023
CSE231,Digital Logic Design,3,B,Fall2023
CSE332,Computer Organization & Architecture,3,W,Spring2024
