course_code,course_name,credits,grade,semester
ENG103,Intermediate Composition,3,F,Summer2019
ECO101,Intro to Microeconomics,3,F,Summer2019
ECO101,Intro to Microeconomics,3,F,Fall2019
ECO101,Intro to Microeconomics,3,D+,Spring2020
ACT201,Intro to Financial Accounting,3,C,Summer2020
ECO104,Intro to Macroeconomics,3,W,Summer2020
MIS107,Introduction to Computers,3,W,Summer2020
BUS251,Business Communication,3,D,Fall2020
ECO104,Intro to Macroeconomics,3,C,Fall2020
MKT202,Introduction to Marketing,3,W,Fall2020
MIS107,Introduction to Computers,3,F,Spring2021
LAW200,Legal Environment of Business,3,W,Spring2021
MKT202,Introduction to Marketing,3,D+,Spring2021
MIS107,Introduction to Computers,3,W,Summer2021
LAW200,Legal Environment of Business,3,W,Summer2021
LAW200,Legal Environment of Business,3,F,Fall2021
MIS107,Introduction to Computers,3,F,Fall2021
ACT202,Intro to Managerial Accounting,3,D,Fall2021
ENG103,Intermediate Composition,3,C-,Spring2022
MIS107,Introduction to Computers,3,W,Summer2022
MGT212,Principles of Management,3,D+,Fall2022
INB372,International Business,3,D,Fall2022
LAW200,Legal Environment of Business,3,F,Fall2022
LAW200,Legal Environment of Business,3,D+,Spring2023
MIS107,Introduction to Computers,3,C,Spring2023
BEN205,Bengali Literature,3,W,Summer2023
MGT368,Entrepreneurship,3,C,Summer2023
PHI401,Ethics / Philosophy,3,D,Summer2023
