course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,B+,Spring2023
CSE115,Programming Language I,3,C+,Spring2023
PHY107L,Physics I Lab,1,B,Spring2023
ENG103,Intermediate Composition,3,A,Spring2023
CSE311L,Database Management Systems Lab,1,A-,Spring2023
CSE173,Discrete Mathematics,3,C,Summer2023
MAT130,Calculus II,3,B+,Summer2023
PHI104,Introduction to Ethics,3,C,Summer2023
CHE101L,Chemistry I Lab,1,A-,Summer2023
CSE215,Programming Language II,3,B+,Fall2023
CSE215L,Programming Language II Lab,1,B+,Fall2023
MAT250,Calculus III,3,C,Fall2023
PHY108L,Physics II Lab,1,D,Fall2023
HIS102,World Civilization,3,B,Fall2023
CSE225,Data Structures & Algorithms,3,B,Spring2024
CSE225L,Data Structures & Algorithms Lab,1,C+,Spring2024
EEE452,Engineering Economics,3,C+,Spring2024
GEO205,Geography,3,W,Spring2024
CSE231,Digital Logic Design,3,A-,Summer2024
CSE231L,Digital Logic Design Lab,1,F,Summer2024
CSE231L,Digital Logic Design Lab,1,B-,Summer2024
ENG111,Public Speaking,3,B+,Summer2024
CSE425,Concepts of Programming Languages,3,A-,Summer2024
GEO205,Geography,3,D,Summer2024
CSE332,Computer Organization & Architecture,3,C+,Fall2024
CSE299,Junior Design Project,1,C,Fall2024
CSE327,Software Engineering,3,B+,Fall2024
CSE373,Design & Analysis of Algorithms,3,D,Fall2024
